,ID,Vote_time,therm_sens,mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.hr_60,grad.hr_60,sd.hr_60,mean.WristT_60,grad.WristT_60,sd.WristT_60,mean.PantT_60,grad.PantT_60,sd.PantT_60
2927,11,5/14/2017 23:12,-0.6,10.54736842,-0.014465915,0.447671036,81.94736842,0.059473967,1.649029486,1.6,0.001529791,0.723417814,0.0,0.0,0.0,96.30111111,0.418300931,13.72036797,26.49508197,0.024541512,0.535632408,22.89966667,0.039610447,0.991675464
2928,11,5/15/2017 0:35,-0.5,10.33529412,0.006403509,0.403021675,80.64705882,-0.072169059,4.107024112,1.482352941,-0.017639553,1.089286059,0.0,0.0,0.0,,,,28.2395082,0.092278689,1.715151525,22.765,-0.00086135,0.390338836
2929,11,5/15/2017 9:54,0.0,10.625,0.025944056,0.475059805,83.75,-0.079020979,1.602554779,0.758333333,-0.01,0.347610894,332.5,9.309090909,214.9094947,,,,33.76688525,-0.038490217,1.278611931,20.4255,0.003451792,0.064530245
2932,11,5/15/2017 12:06,0.2,14.44285714,0.018571429,0.214919697,69.28571429,-0.064285714,0.951189731,1.014285714,0.002857143,0.195180015,882.8571429,1.078571429,12.38855078,98.05150754,0.16035723,10.55532821,28.96333333,0.112219251,1.418920511,20.95242424,0.077553476,1.170181691
2933,11,5/15/2017 13:01,-0.5,15.03636364,0.018727273,0.323334895,66.81818182,-0.110909091,2.040499048,1.272727273,-0.005272727,0.237027041,920.0,0.712727273,11.96662024,97.60305344,-0.48071238,8.849278344,29.21563636,-0.034665945,0.667745692,23.84345455,-0.014962482,1.234564278
2934,11,5/15/2017 14:01,-0.5,16.09,0.006989967,0.23781412,62.6,-0.074916388,1.897366596,1.28,0.004782609,0.329309041,932.2,-0.255183946,5.977736472,84.05649241,-0.123741276,6.730058477,28.6995,-0.018723256,0.571170149,25.0815,0.102241456,2.08238441
2935,11,5/15/2017 15:01,-0.3,16.53636364,0.005273698,0.180403588,60.36363636,-0.079439252,1.747725795,1.490909091,-0.01082777,0.415823389,886.3636364,-1.298397864,24.09677459,85.53624679,0.238825446,16.42540963,29.03516667,0.038797166,1.105452575,24.13983333,-0.065140039,1.560934631
2937,11,5/15/2017 16:01,0.7,17.225,-0.002380952,0.271240536,55.125,0.102380952,1.457737974,1.6,0.019047619,0.472077475,768.125,-2.273809524,27.87952398,118.4765766,0.270003608,11.17237189,28.51297297,0.041353722,1.246869112,21.45351351,0.060426743,0.719475952
2939,11,5/15/2017 17:00,0.4,15.78,-0.014,0.130384048,63.2,0.08,1.095445115,1.6,-0.044,0.504975247,591.2,-2.38,23.39230643,109.8358108,-2.095251377,16.8889925,28.8148,0.474323077,3.670969581,22.6312,0.232392308,1.847733567
2940,11,5/15/2017 18:00,0.6,15.725,-0.008741259,0.226133508,63.5,0.075524476,1.678744119,1.133333333,-0.010629371,0.647138222,336.25,-9.585314685,186.1935088,86.2275,-0.179819404,6.756526231,32.0415,0.016614337,0.448480769,25.22933333,3.11e-05,0.346071741
2941,11,5/15/2017 19:12,0.2,15.125,-0.025384615,0.467342584,68.83333333,0.092307692,1.800673275,0.85,-0.004475524,0.239317211,108.5833333,-2.795104895,69.74428401,104.842266,0.080590159,9.741355243,29.66360656,0.056023797,1.233007208,21.69733333,0.018412892,0.974512249
